Station Name,Ticket Zone,x,y,Latitude,Longitude
Acton Town,3,125,326,51.50281735,-0.280214656
Aldgate,1,538,277,51.51434282,-0.075600611
Aldgate East,1,561,275,51.51530072,-0.072274025
Alperton,4,121,176,51.54075724,-0.299447373
Amersham,9,8.385098687,27.36237638,51.67420008,-0.607416256
Angel,1,469,212,51.53257057,-0.105772295
Archway,2,441,106,51.56549578,-0.135099708
Arnos Grove,4,536,59,51.6163989,-0.133501198
Arsenal,2,508,138,51.5585615,-0.105746916
Baker Street,1,336,225,51.52313116,-0.156881847
Balham,3,346,480,51.44340406,-0.153182996
Bank,1,487,287,51.5133735,-0.088906725
Barbican,1,475,241,51.52021342,-0.097698591
Barking,4,710,205,51.53952056,0.080855743
Barkingside,4,718,105,51.58585544,0.088509189
Barons Court,2,232,325,51.49022739,-0.213576608
Bayswater,1,270,243,51.51229975,-0.188009447
Becontree,5,730,186,51.54036353,0.12740105
Belsize Park,2,396,144,51.55049384,-0.164212238
Bermondsey,2,530,334,51.49802452,-0.063635613
Bethnal Green,2,584,233,51.52726755,-0.055423847
Blackfriars,1,455,321,51.51156251,-0.103596123
Blackhorse Road,3,599,116,51.58701271,-0.040984391
Bond Street,1,337,265,51.51387906,-0.149315708
Borough,1,442,384,51.5012707,-0.093692651
Boston Manor,4,94,347,51.49576555,-0.324729543
Bounds Green,3,536,70,51.60715231,-0.124210461
Bow Road,2,628,241,51.5268669,-0.024809606
Brent Cross,3,354,102,51.57686088,-0.213428926
Brixton,2,400,458,51.46265326,-0.114611795
Bromley-By-Bow,2,652,242,51.52484277,-0.01165748
Buckhurst Hill,5,667,50,51.6265758,0.046733076
Burnt Oak,4,325,73,51.60273831,-0.264170829
Caledonian Road,2,488,160,51.54849133,-0.118292408
Camden Town,2,416,171,51.5394686,-0.142709548
Canada Water,2,569,334,51.4979652,-0.049695892
Canary Wharf,2,619,334,51.50362313,-0.019426407
Canning Town,3,666,295,51.51390822,0.008181999
Cannon Street,1,472,303,51.51150584,-0.090681195
Canons Park,5,250,81,51.60782068,-0.294618585
Chalfont & Latimer,8,58.84729586,27.36237638,51.6680763,-0.560477729
Chalk Farm,2,406,154,51.5441519,-0.153701577
Chancery Lane,1,445,265,51.51819437,-0.111660401
Charing Cross,1,400,311,51.50866134,-0.124733426
Chesham,9,27,17,51.70507276,-0.611158209
Chigwell,4,692,71,51.61793168,0.074523461
Chiswick Park,3,136,332,51.4943711,-0.267715593
Chorleywood,7,90,34.170438,51.65426696,-0.518312173
Clapham Common,2,366,461,51.46180336,-0.138295129
Clapham North,2,376,450,51.46492348,-0.129515616
Clapham South,2,357,470,51.45267416,-0.14795997
Cockfosters,5,536,26,51.65174478,-0.149604351
Colindale,4,334,83,51.59535142,-0.250108975
Colliers Wood,3,317,508,51.41814951,-0.177678808
Covent Garden,1,410,275,51.51297926,-0.124146712
Croxley,7,105,38,51.6471039,-0.441669863
Dagenham East,5,750,165,51.5441871,0.165864184
Dagenham Heathway,5,744,172,51.54170121,0.147674142
Debden,6,667,27,51.64549427,0.083832469
Dollis Hill,3,270,136,51.55196946,-0.238775764
Ealing Broadway,3,107,265,51.5149791,-0.301471777
Ealing Common,3,121,295,51.5101968,-0.288221583
Earl's Court,1,262,331,51.49187618,-0.193526047
East Acton,2,190,265,51.51664829,-0.247481639
East Finchley,3,440,84,51.58733501,-0.164725648
East Ham,3,700,215,51.5389967,0.051467145
East Putney,2,256,413,51.45887883,-0.210975744
Eastcote,5,109,94,51.57655322,-0.39680646
Edgware,5,310,58,51.61368485,-0.274946709
Edgware Road,1,286,210,51.52025012,-0.17010672
Elephant & Castle,1,417,410,51.49584772,-0.100711857
Elm Park,6,761,155,51.54987277,0.199159843
Embankment,1,401,330,51.50731012,-0.122340604
Epping,6,667,10,51.69368986,0.113845981
Euston,1,415,206,51.52866595,-0.133265016
Euston Square,1,416,218,51.52562663,-0.135824263
Fairlop,4,718,94,51.59574781,0.090921024
Farringdon,1,462,228,51.52051764,-0.10505032
Finchley Central,4,440,74,51.60103904,-0.19242871
Finchley Road,2,305,177,51.54713209,-0.18047382
Finsbury Park,2,525,122,51.56447095,-0.106495674
Fulham Broadway,2,256,376,51.48059868,-0.194937978
Gants Hill,4,705,131,51.5765571,0.066103646
Gloucester Road,1,285,326,51.49431275,-0.182960687
Golders Green,3,364,112,51.57228586,-0.19396566
Goldhawk Road,2,217,308,51.50202647,-0.226720989
Goodge Street,1,400,253,51.52049909,-0.134642741
Grange Hill,4,704,71,51.61340971,0.092132915
Great Portland Street,1,372,218,51.52378935,-0.14393025
Green Park,1,343,291,51.50691892,-0.142899998
Greenford,4,80,182,51.54236162,-0.34641202
Gunnersbury,3,148,361,51.49186736,-0.275147144
Hainault,4,718,83,51.60379254,0.093105998
Hammersmith,2,217,325,51.4926397,-0.222367633
Hampstead,2,375,123,51.55675484,-0.17820292
Hanger Lane,3,115,217,51.53007288,-0.292973103
Harlesden,3,218,151,51.53625519,-0.257476566
Harrow & Wealdstone,5,218,78,51.59226368,-0.335193509
Harrow-on-the-Hill,5,174,108.3,51.57939273,-0.336973212
Hatton Cross,5,48,392,51.46668542,-0.423356896
"Heathrow Terminals 1, 2 & 3",6,36,406,51.45862417,-0.446006279
Heathrow Terminal 4,6,42,415,51.47129018,-0.452385526
Heathrow Terminal 5,6,14,427,51.47159389,-0.487913971
Hendon Central,3,343,92,51.58335804,-0.226465843
High Barnet,5,440,23,51.65065795,-0.194737478
High Street Kensington,1,270,286,51.50074572,-0.192480691
Highbury & Islington,2,516,170,51.54630074,-0.103948483
Highgate,3,440,95,51.57765885,-0.146618543
Hillingdon,6,39,78,51.55378028,-0.44988129
Holborn,1,421,266,51.5175063,-0.119995446
Holland Park,2,254,265,51.50740459,-0.205705089
Holloway Road,2,499,148,51.55282117,-0.112913541
Hornchurch,6,768,148,51.55407287,0.218999452
Hounslow Central,4,66,375,51.47115221,-0.366881823
Hounslow East,4,76,366,51.47324113,-0.356648626
Hounslow West,5,58,384,51.47310603,-0.385684911
Hyde Park Corner,1,328,301,51.50282871,-0.152730468
Ickenham,6,57,78,51.5620464,-0.441975598
Kennington,2,398,428,51.48819371,-0.10547519
Kensal Green,2,218,173,51.5305265,-0.224683208
Kensington (Olympia),1,250,302,51.49788319,-0.210355325
Kentish Town,2,440,133,51.55036797,-0.140452418
Kenton,4,218,90,51.58184637,-0.317125399
Kew Gardens,3,148,378,51.47709778,-0.285212918
Kilburn,2,291,155,51.54694369,-0.204612104
